review_id,product_id,agent_name,sound,noise_cancel,comfort,customer_care,microphone,connectivity,price,built,bluetooth,bass,review_text
286964,123,Akshay,positive,Not discussed,Not discussed,Not discussed,Not discussed,positive,Not discussed,positive,Not discussed,Not discussed,"I won't list things you can find in reviews, just make some points that might help those who are considering purchasing.* The headband cracking has not been an issue for me. I attribute this to me never using the carrying case, which folds the headphones up. I believe it's this folding position (or the stress induced in the joints when taking it in and out of the folding position) that causes the breaks. So just don't use that position, and you'll likely be fine.* Audio latency over bluetooth. There is no noticeable latency between audio and visuals if you have the correct audio codecs and device compatability! I understand where it's coming from; I had audio lag on my android phone, but knew it wasn't the headphones since I had no audio lag when using them on my PC with AptX codec. I installed a custom Oreo ROM on my phone (which allows you to specify codecs), and now I'm not getting any noticeable lag, even when using LDAC. So while some devices and software setups do have audio lag (hence the reviews here containing such complaints), it is NOT the case that the headphones are not capable of producing in sync sound; you may just have to work at it a bit.Keywords: lag latency bluetooth cracking sync"
302206,139,Akshay,positive,positive,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,positive,"I have always been pleased with Sony products. These are by far the best earbuds I have ever owned. The quality of the bass is considerably higher than in other headphones. Also, they are LOUD. If you turn them up loud enough, you will not be able to hear anything else going on around you. This is extremely helpful when you are trying to watch things or listen to things when there are others around who might be making noise. All in all, I would most definitely recommend these."
304681,141,Akshay,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,very nice product
307058,144,Akshay,positive,positive,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,"Purchased these for a long airplane ride for my children.  They worked great!  I have a small head and they fit me comfortably as well.  When my child wasn't using them, I used them to watch a movie.  The sound quality was fine and it was loud enough to hear the movie over the airplane engines."
308734,145,Akshay,positive,Not discussed,Not discussed,Not discussed,negative,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,"The pros on the enacfire earbuds are they are small, easy to charge and have great sound. The cons are they have a shorter than 3.5hr use time, yes I did turn the volume down and up experimenting with use time. There is no (battery full) or medium notification sound when turned on (although the white rings blink notifying you while charging.) Sometimes communication sounds garbled on both ends."
294077,131,Akshay,positive,Not discussed,positive,positive,Not discussed,positive,Not discussed,Not discussed,Not discussed,Not discussed,"So far so good. I paired them successfully, as for the ear hooks, for my size ears they are pretty useless. Generic build for average male heads it seems. However, the sound is good and the buds seem to stay nicely in the ears. Shipping was quick enough. Nice little case to keep them in. Sound is good but I am not an audiophile. I use them for walking to and from work. They are pretty new so I can't attest for battery life. If it's good I won't amend my review.Customer support so far is VERY good. They are on top of letting people know any issues that may come up with your smart phone (pro-actively)."
305333,142,Akshay,positive,positive,positive,positive,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,"Awesome headphones.  Very comfortable, clear sound.  The only thing I have to get used to is that my own voice sounds muffled, because of the noise cancelling.  But everyone else's voice is very clear.The airline adapter was missing in my package.  I chatted with Amazon representative and they immediately gave me a $20 credit, and a link to order a new one, which I immediately did.($12.99 with free shipping :))"
305365,142,Akshay,positive,positive,positive,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,"I just got these for my 5th flight to China in the last year. I wish I would have bought them for the first one. 14 hours of comfort and sanity that I otherwise haven't found. Even with no audio, the noise-cancelling is amazing. This is a fantastic tool for frequent travelers."
302087,139,Akshay,positive,neutral,positive,Not discussed,Not discussed,Not discussed,Not discussed,neutral,Not discussed,Not discussed,"These are probably the best pair of earphones I've ever bought. With that said, i'm annoyed by them lol. When i purches them, they had the 2nd biggest driver size for its class (1st being yurbuds 300 with 15mm) and the best frequency response range. They're also very good at noise isolating. The mic is also very good but you need a little louder than you probably sound normally. With that said, i'm annoyed with them because i usually buy earphones b/c i want to hear the ambient sounds of my surrounding and these don't to that!! Another thing i wish they had was the magnets so that the earpieces would stick together but they don't :/  Either way, good purchase to get"
291618,128,Akshay,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,"Great headphones! Work just as advertised, no gimmicks."
279206,116,Akshay,positive,Not discussed,positive,Not discussed,positive,positive,Not discussed,Not discussed,Not discussed,Not discussed,The headphones are amazing. They are reliable when it comes to phone conversations whether it be me hearing the other person and them hearing me perfectly. I love that. I can be a pretty far distance from my phone and still have a connection. The quality of the sound when I play my music is excellent and also they are most comfortable.
301119,138,Akshay,positive,Not discussed,Not discussed,Not discussed,positive,positive,Not discussed,Not discussed,Not discussed,Not discussed,Finally I can listen to my audiobook without getting my earbud cords hooked on everything while I'm cleaning.  They were super simple to set up and use and I have no problems hearing people or them hearing me.
296303,133,Akshay,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,positive,negative,"The Bluetooth connection is stable, but I don't really like the extra-bass feature. The bass on these headphones is more boomy than punchy which I don't like."
304224,141,Akshay,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,negative,negative,Not discussed,Not discussed,Not discussed,Batteries don't last very long and if the phone is in your pocket or very far away they get lost. I thought being bose they would be great but they are not. I WOULD NOT buy them again. For the price I feel like I got takenDon
288800,125,Akshay,positive,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,positive,Not discussed,Not discussed,Great sound. Great Quality. One issue with the cover that comes with it is too small and its difficult to put that head set in that cover.
280252,117,Akshay,positive,Not discussed,positive,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,positive,positive,"I bought based on the good reviews that they got on Amazon and searching on Youtube.  The quality of the headphones are top notch. That headband and ear cushions are comfortable to wear for hours,  I use them at work due to a co-worker that talks a tad loud and wearing them with my mp3 player the sound of the bass and treble are above my expectations.I'm use these at home also with my computer and I decided to pick up a bluetooth wireless transmitter and that make listening and watching video 100x better, now I'm not tethered by a cord like I was with my cheap Amazon headphones."
303099,140,Akshay,Not discussed,Not discussed,negative,Not discussed,Not discussed,positive,Not discussed,negative,Not discussed,Not discussed,"Easy to pair, and with a fairly long battery life these are a solid purchase. I, personally don't like these pleather cups though. They stick to my skin and make the area around my ear ache after too long. Not the best for long listening sessions."
288172,125,Akshay,Not discussed,Not discussed,negative,Not discussed,Not discussed,Not discussed,Not discussed,negative,Not discussed,Not discussed,"These headphones were terrible! When the box arrived,  it was not completely sealed. It looked as if it had been previously opened. Also, the zipper to the carrying case that comes with it was broken. After using it only 4 times, and within the first week of owning them, the material broke away from the plastic on the right side air phones as shown in the picture. Also, the headphones plastic cracked and split open and the backing to the auxiliary device mic fell off and wouldn???t click back on.  I question the authenticity of this product. I feel like I purchased a knock off sent to me in an original box. Not happy. Returning them."
283346,120,Akshay,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,"It was a gift for my son,he loves them. He says the quality is good."
289078,126,Akshay,neutral,Not discussed,neutral,neutral,Not discussed,Not discussed,positive,Not discussed,Not discussed,Not discussed,"Just got my headphones yesterday. They came with a charge so I could try them out right away. How cool and thoughtful is that! The package is impressive. Everything you need plus more is included. The case is great. Hard shell yet soft to the touch. Stylish as well. Has a net pocket inside.You can easily tell someone(s) asked themselves, ""how can I make this product an even better value to beat the competition?"".A brief history of my headphones from Amazon; These headphones are replacements for the Senbowe bluetooth headphones I bought here in 2015. The Senbowe still work but they fall out of my ear and the cord on the back is tacky and snags my skin which pulls the plugs out of my ear when I turn my head (big design flaw). They are also not very loud. Otherwise they work very similar to these. The Senso is also replacing another pair I tried about 6 months ago which I feel are total garbage: Beyution V4.1 Bluetooth headphones. Those are 'on the ear' style and were cheap plastic garbage which broke. Seller offered to replace them but I didnt want another pair.So with that said, these headphones are made well. They are slightly large looking in my ears but not so goofy that I look like a robot. It's not an issue. The cord on the back of my neck does not snag on my skin and is not tacky. 2 cord clips are included as a bonus. They just keep things tidy and pick up the slack. Nice touch! The headphones are super light and the around ear part is very comfy. Love it. I have large ears and the default plugs worked great for me but they come with other sizes as well included. The box includes a couple USB cords and a card charging port (how thoughtful and great!).The sound I feel is only slightly bass heavy but I need more time to determine how I like that. It sounded great when I tried them for 5 minutes.I was very impressed by how loud they are! I was also very impressed with the outside sound suppression. I listened to music near my AC window unit and I couldn't hear it! It was on high. This is getting close to my higher end Bose 25 headphones with active noise reduction (requires a battery for those headphones). Super impressive! That was a big surprise. I honestly didn't think it would be as good as it is. I use headphones in the gym and I don't want to listen to the loud pop music they play at all.The controls work fine. I haven't tried the phone feature yet. Hooking up to a wireless Bluetooth connection was breeze. The instructions included are simple and easy to follow. The case also included a pamphlet on how to get support which I hear is excellent but hope to never use.Bottom line. Best value headphone set/package I have every found and at a price point which is great! Win/Win. Rock on!"
289120,126,Akshay,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,negative,Not discussed,Not discussed,"Have had mine for a year, treated gently, and not very often.  But last night, the left side started going out.  It would crackle and intermittently go on and off depending how i moved it around.  From experimenting, it appears the problem originates where the wire comes out of the right side to go to the left.  Holding the right earbud and moving it around a little would cause the left earbud to come on and go off intermittently.  I really liked these, but am definitely let down by the fact that with the little amount of use, and treating them gently over the last year that I've had them, that they would stop working properly.  It's possible that this pair somehow slipped past quality control.  I don't think I've ever had a pair of bluetooth headphones that broke down after one year, because as I've stated, I've always treated my gear very carefully and gently.  I have been using these headphones for 3-4 hours, one day a week (Fridays) for online gaming and that's it."
302077,139,Akshay,neutral,Not discussed,negative,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,positive,"I tried them out for the first time and it was good, nothing spectacular. After some few minutes of usage, I moved and then the right ear had better sound. This is how I discovered the sound on the right earbud is messed up and will only work well at a VERY specific angle I have yet to find since the other times have been by accident. The sound is super low and I hate it. I will NOT be buying again and I regret purchasing. The sound and bass is good for the price, nothing outstanding. They are slightly better than the Apple ones I???d say in terms of sound and despite being plastic, the Apple ones are more comfortable :/"
291250,128,Akshay,positive,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,positive,Not discussed,Not discussed,I listened all night and barely used 10% of the charge. The sound quality was excellent and I love that it has the over the ear hooks so it doesn???t accidentally get yanked out of my ears.
298150,135,Akshay,Not discussed,neutral,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,These headphones are OK not too much noise cancelling.  But again you get what you pay for.  If you are looking for noise canceling headphones you need to spend a lot more money.
290157,127,Akshay,positive,Not discussed,positive,Not discussed,Not discussed,Not discussed,Not discussed,negative,Not discussed,Not discussed,"UPDATE: After 6 months the left speaker went out. I always took care of them and even stored them in a case. Always kept volume @ 70. What gives? Changing 5 stars to 1.These are great. They're comfortable, they store well, and the audio is good.For the price, you can't beat'em. Make sure to pair these with an equalizer software, it'll make them truly stand out in their balanced high, mids, and lows. Good bass."
289002,125,Akshay,positive,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,"Amazing, I purchased a pair for myself and one as a Christmas gift wonderful, just great sound"
290481,127,Akshay,positive,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,positive,Not discussed,Not discussed,"This headphones are great. The sound and built quality you get for the price it's very good. The only thing I dont like is the way in which buttons are used. For increasing or decresing volume you have to make a long press in the plus o minus bottons, a simple click wont dont anything. The same goes for power on/off, 4 seconds hold down is too much."
297803,134,Akshay,positive,Not discussed,positive,Not discussed,Not discussed,Not discussed,Not discussed,positive,Not discussed,Not discussed,Excellent quality and performance. Great value. Very comfortable to wear for extended periods of time.
288903,125,Akshay,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,My Son Loves his Beats!
286719,123,Akshay,Not discussed,positive,Not discussed,Not discussed,Not discussed,Not discussed,negative,Not discussed,Not discussed,Not discussed,Great headphones. Noise cancelling function is awesome. Minus one star for the price.
291073,128,Akshay,positive,positive,positive,Not discussed,positive,Not discussed,positive,Not discussed,Not discussed,positive,"After going through a couple bluetooth headphones ive finally found the one that ticks all the boxes at a fantastic price. These headphones do everything well. Great quality sound.(bass,treble, clarity)  .solid build.....Comfortable on the ear. Awesome audio quality during phone calls. Good battery life. Dont look further and just buy these now. You wont regret it."
291962,128,Akshay,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,positive,Not discussed,The Bluetooth works great!
281313,118,Akshay,positive,Not discussed,Not discussed,positive,positive,positive,Not discussed,Not discussed,Not discussed,Not discussed,"After purchasing many different brands of Bluetooth headphone sets, I will always order this one! I purchased this headset December 2017 and it recently stopped working. I looked up the warranty information and they sent me a brand new one! It has almost been a year since I purchased but they stand behind their products! The quality is very good! The microphone is clear, the speakers are loud, the battery life is great and it changes fast! You will get your money worth on this purchase! I really like the fact that I can be connected to multiple devices at the same time!"
300157,137,Akshay,Not discussed,positive,positive,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,"These are the best earbuds I have ever owned.  I have been using them daily for about 6 months and highly recommend them.  They fit so well, I forget they are there, even when I have fallen asleep in bed wearing them.  They are also just the right length for walking with my iPod, orwhen  watching something on my laptop from the coffee table.  They block out most outside noise making it easy to concentrate on my activity, finding them much more convenient than headphones.  Sometimes I wear them to block out noises when I take the occaisional nap. They are holding up better than any other earbud product I have used.  I am curious to see how well they will perform during upcomin airline travel."
292187,129,Akshay,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,positive,Not discussed,Not discussed,positive,"I didn't want to leave a review until I tried these for 2 weeks. I use them Monday- Friday, 2 hours at the gym and 1 hour of cardio at the lake. For the price I'm satisfied. The quality falls between my JBL Reflect Contours and Power Beats 3 at more than half the cost. They are bass heavy, which I don't mind. If you buy them you won't have any regrets or buyers remorse.  Over the last 2 weeks of heavy use I did notice a couple of things that I didn't like though. The wire around your neck seems odd. While I squat, bench press, run and do lat pull downs I noticed the wire moves around a lot. Sometimes twisting up, then I had to take one ear piece off and re-adjust the wire. I did use the supplied cord management clip and shirt clip. It didn't help with the cord moving around. I think it's because the weight of the volume box pulls down more on one side.  I also noticed static noise while jolting up from the bench press laying position to a seated position. This has only happened twice.  Overall I do think they're worth the $39.99 I paid. They're currently listed at $32.99 as of 9/15/17. So they're even more worth it. But it's kinda a bummer to people that paid more 2 weeks ago."
307330,144,Akshay,Not discussed,positive,positive,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,The headphones fit well. Our four year old daughter is happy with the fit & wears them with no complaints about comfort. They are used mostly at long wrestling tournaments for her brothers & block the noisiness of the gym allowing her to hear her Kindle.
304169,141,Akshay,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,negative,Not discussed,negative,Not discussed,Not discussed,"I'm really struggling with this product. I do not like that when answering phone calls, only the right ear is in use. I feel like the standard for 2018 is both ears working. There's a lag in the audio when watching videos which makes it impossible to watch. And when I run, the left ear connects and disconnects over and over again. For one of the more expensive sport wireless on the market Bose has really fallen short and not delivered with these. It's time to head back to the drawing board, and give it another try."
303214,140,Akshay,Not discussed,positive,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,I use these while mowing for a couple of hours and they work great!
301544,138,Akshay,positive,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,"Headphones work great, nice you don???t have to buy batteries.  Sound is good too."
306743,143,Akshay,positive,Not discussed,positive,Not discussed,Not discussed,Not discussed,Not discussed,positive,Not discussed,Not discussed,"Students think they are cool, comfortable and have great sound. I like the durability factor."
288043,125,Akshay,positive,Not discussed,positive,Not discussed,Not discussed,positive,Not discussed,positive,positive,positive,"Beats Solo3 is not the best audio out there, but the crazy thing is that I find myself wearing them more often than another $500 pair of headphones that I have just because they are so convenient and easy. They fold up small and are easy to carry in a backpack, holding up well to pretty tough treatment. The battery lasts forever and if it does die, you can get a whole study session of juice for like 5 minutes of charging. Connecting to my MacBook, iPhone, or iPad is so easy using the M1 chip and the syncing of settings through iCloud that it makes connecting other bluetooth devices seem super cumbersome: Just turn the Solo3 and choose it from your list of devices (no need to disconnect from one device before connecting to the next). And finally, they look good and are very comfortable.So even though they aren't the best headphones I own, they end up being the ones I use the most because of how convenient, tough, long-lasting, and easy they are. Even though I said the sound isn't the best, the sound is great. The only time that I can discern that they are inferior is head-to-head, and even then, for some types of music these are preferred. They are certainly tuned to handle bass quite well, but they aren't overly bass-heavy as some other reviews indicate. So the sound is more than passable, quite good, and even superior for some music."
302810,139,Akshay,Not discussed,positive,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,positive,Specially designed to highlight the bass sounds. It does its job right. I did not get astonished. The sound is good and surely better than the averaged earphones one can find out there. The cord could be thicker but that it is just ok!
279722,116,Akshay,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Works great...
293619,130,Akshay,Not discussed,negative,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,It was a gift for my husband. But he didn't like it. Said it didn't cut out the noise. So we sent it back.
300354,137,Akshay,positive,positive,positive,Not discussed,Not discussed,Not discussed,Not discussed,positive,Not discussed,Not discussed,"I have to say, I've been through quite a few headphones on my search for an affordable go-to pair. I ordered these headphones with the hopes of having a light-weight pair to have around the house and block out my roommates when I'm studying or doing work. As soon as they arrived and I took them out of the packaging, I was honestly amazed by how light they are. My next surprise was how easily and comfortably they fit in my ear...honestly the best fit of any headphone I've had in awhile. Lastly, I had to test out the volume to see if they could stand the test of my roommate's blasting of 13 Ways to Die. I raised my TV at its highest volume and raised my laptop to its highest volume, and, me headphones won! Putting them to the roommate test tonight.The light-weight chord, the in-ear shape and the incredible sound make these extremely affordable and accessible earbuds my go-tos."
290435,127,Akshay,positive,Not discussed,positive,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,"Very comfortable to wear. Not too heavy. Good coverage Over the ears. High Quality Audio, which is very important to me."
291331,128,Akshay,Not discussed,Not discussed,Not discussed,positive,Not discussed,Not discussed,Not discussed,negative,Not discussed,Not discussed,"My son didn???t have these headphones any time before they broke. Amazon sent him a new pair, now they are broke.  Did not last a year. However, company did replace and give a extension to the warranty!"
284496,121,Akshay,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,positive,Not discussed,Not discussed,Still working great after several months of use.  Will stay in your ear no matter how sweaty you get when doing really hard workouts.  Holds a charge for a long time which is a definite plus.  Would recommend to anyone.  I love the magnets and the clever storage pouch.
285405,122,Akshay,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,negative,Not discussed,Not discussed,positive,Not discussed,"Despite my narrow ear canals, these stay in my ears perfectly while I am jogging outside and they work flawlessly with the bluetooth music on my watch. The receiver is on the right, so I have to switch my watch to my right side when I'm outside to avoid drops in reception. They look weird sticking out so far from my ears, but I refrain from looking in the mirror, and they are just what I needed."
